# syllable id,counts
0.000000000000000000e+00,3.640000000000000000e+02
1.000000000000000000e+00,5.040000000000000000e+02
2.000000000000000000e+00,4.520000000000000000e+02
3.000000000000000000e+00,6.820000000000000000e+02
4.000000000000000000e+00,6.540000000000000000e+02
5.000000000000000000e+00,4.040000000000000000e+02
6.000000000000000000e+00,4.150000000000000000e+02
7.000000000000000000e+00,3.740000000000000000e+02
8.000000000000000000e+00,5.440000000000000000e+02
9.000000000000000000e+00,2.330000000000000000e+02
1.000000000000000000e+01,3.660000000000000000e+02
1.100000000000000000e+01,3.010000000000000000e+02
1.200000000000000000e+01,5.330000000000000000e+02
1.300000000000000000e+01,3.230000000000000000e+02
1.400000000000000000e+01,2.650000000000000000e+02
1.500000000000000000e+01,3.570000000000000000e+02
1.600000000000000000e+01,4.340000000000000000e+02
1.700000000000000000e+01,6.460000000000000000e+02
1.800000000000000000e+01,2.660000000000000000e+02
1.900000000000000000e+01,2.520000000000000000e+02
2.000000000000000000e+01,3.380000000000000000e+02
2.100000000000000000e+01,2.620000000000000000e+02
2.200000000000000000e+01,1.030000000000000000e+02
2.300000000000000000e+01,4.810000000000000000e+02
2.400000000000000000e+01,1.290000000000000000e+02
2.500000000000000000e+01,1.530000000000000000e+02
2.600000000000000000e+01,5.560000000000000000e+02
2.700000000000000000e+01,6.830000000000000000e+02
2.800000000000000000e+01,2.690000000000000000e+02
2.900000000000000000e+01,7.100000000000000000e+01
3.000000000000000000e+01,4.160000000000000000e+02
3.100000000000000000e+01,2.530000000000000000e+02
3.200000000000000000e+01,2.320000000000000000e+02
3.300000000000000000e+01,1.880000000000000000e+02
3.400000000000000000e+01,4.940000000000000000e+02
3.500000000000000000e+01,2.190000000000000000e+02
3.600000000000000000e+01,1.250000000000000000e+02
3.700000000000000000e+01,1.760000000000000000e+02
3.800000000000000000e+01,4.590000000000000000e+02
3.900000000000000000e+01,1.060000000000000000e+02
4.000000000000000000e+01,1.450000000000000000e+02
4.100000000000000000e+01,3.270000000000000000e+02
4.200000000000000000e+01,1.290000000000000000e+02
4.300000000000000000e+01,1.280000000000000000e+02
4.400000000000000000e+01,1.780000000000000000e+02
4.500000000000000000e+01,1.250000000000000000e+02
4.600000000000000000e+01,1.240000000000000000e+02
4.700000000000000000e+01,3.200000000000000000e+02
4.800000000000000000e+01,1.310000000000000000e+02
4.900000000000000000e+01,4.200000000000000000e+02
5.000000000000000000e+01,3.960000000000000000e+02
5.100000000000000000e+01,1.050000000000000000e+02
5.200000000000000000e+01,1.110000000000000000e+02
