# syllable id,counts
0.000000000000000000e+00,4.940000000000000000e+02
1.000000000000000000e+00,5.550000000000000000e+02
2.000000000000000000e+00,5.800000000000000000e+02
3.000000000000000000e+00,2.630000000000000000e+02
4.000000000000000000e+00,2.970000000000000000e+02
5.000000000000000000e+00,5.320000000000000000e+02
6.000000000000000000e+00,5.380000000000000000e+02
7.000000000000000000e+00,4.060000000000000000e+02
8.000000000000000000e+00,2.970000000000000000e+02
9.000000000000000000e+00,6.990000000000000000e+02
1.000000000000000000e+01,3.510000000000000000e+02
1.100000000000000000e+01,3.860000000000000000e+02
1.200000000000000000e+01,3.210000000000000000e+02
1.300000000000000000e+01,2.820000000000000000e+02
1.400000000000000000e+01,3.900000000000000000e+02
1.500000000000000000e+01,2.550000000000000000e+02
1.600000000000000000e+01,2.120000000000000000e+02
1.700000000000000000e+01,5.510000000000000000e+02
1.800000000000000000e+01,3.950000000000000000e+02
1.900000000000000000e+01,3.800000000000000000e+02
2.000000000000000000e+01,3.010000000000000000e+02
2.100000000000000000e+01,2.760000000000000000e+02
2.200000000000000000e+01,4.970000000000000000e+02
2.300000000000000000e+01,1.070000000000000000e+02
2.400000000000000000e+01,3.810000000000000000e+02
2.500000000000000000e+01,3.300000000000000000e+02
2.600000000000000000e+01,4.900000000000000000e+01
2.700000000000000000e+01,4.300000000000000000e+01
2.800000000000000000e+01,1.820000000000000000e+02
2.900000000000000000e+01,3.530000000000000000e+02
3.000000000000000000e+01,3.000000000000000000e+02
3.100000000000000000e+01,2.630000000000000000e+02
3.200000000000000000e+01,1.600000000000000000e+02
3.300000000000000000e+01,1.980000000000000000e+02
3.400000000000000000e+01,8.500000000000000000e+01
3.500000000000000000e+01,2.390000000000000000e+02
3.600000000000000000e+01,2.380000000000000000e+02
3.700000000000000000e+01,2.140000000000000000e+02
3.800000000000000000e+01,4.500000000000000000e+01
3.900000000000000000e+01,2.520000000000000000e+02
4.000000000000000000e+01,1.490000000000000000e+02
4.100000000000000000e+01,1.080000000000000000e+02
4.200000000000000000e+01,2.690000000000000000e+02
4.300000000000000000e+01,2.400000000000000000e+02
4.400000000000000000e+01,1.700000000000000000e+02
4.500000000000000000e+01,1.820000000000000000e+02
4.600000000000000000e+01,2.500000000000000000e+02
4.700000000000000000e+01,4.100000000000000000e+01
4.800000000000000000e+01,1.220000000000000000e+02
4.900000000000000000e+01,2.200000000000000000e+01
5.000000000000000000e+01,3.900000000000000000e+01
5.100000000000000000e+01,1.150000000000000000e+02
5.200000000000000000e+01,1.420000000000000000e+02
