# syllable id,counts
0.000000000000000000e+00,6.960000000000000000e+02
1.000000000000000000e+00,6.010000000000000000e+02
2.000000000000000000e+00,8.280000000000000000e+02
3.000000000000000000e+00,5.530000000000000000e+02
4.000000000000000000e+00,4.500000000000000000e+02
5.000000000000000000e+00,3.640000000000000000e+02
6.000000000000000000e+00,4.560000000000000000e+02
7.000000000000000000e+00,4.750000000000000000e+02
8.000000000000000000e+00,5.310000000000000000e+02
9.000000000000000000e+00,5.100000000000000000e+02
1.000000000000000000e+01,4.070000000000000000e+02
1.100000000000000000e+01,3.870000000000000000e+02
1.200000000000000000e+01,2.780000000000000000e+02
1.300000000000000000e+01,3.560000000000000000e+02
1.400000000000000000e+01,3.670000000000000000e+02
1.500000000000000000e+01,3.220000000000000000e+02
1.600000000000000000e+01,3.820000000000000000e+02
1.700000000000000000e+01,1.200000000000000000e+01
1.800000000000000000e+01,3.630000000000000000e+02
1.900000000000000000e+01,4.050000000000000000e+02
2.000000000000000000e+01,2.570000000000000000e+02
2.100000000000000000e+01,4.190000000000000000e+02
2.200000000000000000e+01,3.170000000000000000e+02
2.300000000000000000e+01,1.600000000000000000e+02
2.400000000000000000e+01,3.450000000000000000e+02
2.500000000000000000e+01,2.850000000000000000e+02
2.600000000000000000e+01,7.900000000000000000e+01
2.700000000000000000e+01,1.390000000000000000e+02
2.800000000000000000e+01,2.130000000000000000e+02
2.900000000000000000e+01,4.030000000000000000e+02
3.000000000000000000e+01,1.510000000000000000e+02
3.100000000000000000e+01,3.520000000000000000e+02
3.200000000000000000e+01,1.630000000000000000e+02
3.300000000000000000e+01,1.500000000000000000e+02
3.400000000000000000e+01,1.530000000000000000e+02
3.500000000000000000e+01,1.590000000000000000e+02
3.600000000000000000e+01,2.830000000000000000e+02
3.700000000000000000e+01,2.220000000000000000e+02
3.800000000000000000e+01,1.210000000000000000e+02
3.900000000000000000e+01,2.280000000000000000e+02
4.000000000000000000e+01,2.930000000000000000e+02
4.100000000000000000e+01,1.020000000000000000e+02
4.200000000000000000e+01,2.200000000000000000e+02
4.300000000000000000e+01,1.900000000000000000e+02
4.400000000000000000e+01,2.080000000000000000e+02
4.500000000000000000e+01,2.270000000000000000e+02
4.600000000000000000e+01,1.200000000000000000e+02
4.700000000000000000e+01,5.400000000000000000e+01
4.800000000000000000e+01,1.670000000000000000e+02
4.900000000000000000e+01,3.900000000000000000e+01
5.000000000000000000e+01,3.400000000000000000e+01
5.100000000000000000e+01,1.150000000000000000e+02
5.200000000000000000e+01,6.700000000000000000e+01
