# syllable id,counts
0.000000000000000000e+00,9.930000000000000000e+02
1.000000000000000000e+00,7.900000000000000000e+02
2.000000000000000000e+00,6.640000000000000000e+02
3.000000000000000000e+00,1.194000000000000000e+03
4.000000000000000000e+00,1.154000000000000000e+03
5.000000000000000000e+00,9.140000000000000000e+02
6.000000000000000000e+00,9.390000000000000000e+02
7.000000000000000000e+00,9.990000000000000000e+02
8.000000000000000000e+00,8.680000000000000000e+02
9.000000000000000000e+00,4.620000000000000000e+02
1.000000000000000000e+01,6.040000000000000000e+02
1.100000000000000000e+01,7.670000000000000000e+02
1.200000000000000000e+01,6.280000000000000000e+02
1.300000000000000000e+01,7.690000000000000000e+02
1.400000000000000000e+01,5.100000000000000000e+02
1.500000000000000000e+01,8.320000000000000000e+02
1.600000000000000000e+01,7.330000000000000000e+02
1.700000000000000000e+01,5.090000000000000000e+02
1.800000000000000000e+01,6.230000000000000000e+02
1.900000000000000000e+01,5.270000000000000000e+02
2.000000000000000000e+01,5.880000000000000000e+02
2.100000000000000000e+01,4.670000000000000000e+02
2.200000000000000000e+01,3.610000000000000000e+02
2.300000000000000000e+01,6.060000000000000000e+02
2.400000000000000000e+01,3.930000000000000000e+02
2.500000000000000000e+01,3.790000000000000000e+02
2.600000000000000000e+01,1.015000000000000000e+03
2.700000000000000000e+01,7.380000000000000000e+02
2.800000000000000000e+01,3.890000000000000000e+02
2.900000000000000000e+01,2.710000000000000000e+02
3.000000000000000000e+01,2.550000000000000000e+02
3.100000000000000000e+01,4.200000000000000000e+02
3.200000000000000000e+01,5.820000000000000000e+02
3.300000000000000000e+01,3.470000000000000000e+02
3.400000000000000000e+01,3.610000000000000000e+02
3.500000000000000000e+01,4.810000000000000000e+02
3.600000000000000000e+01,2.810000000000000000e+02
3.700000000000000000e+01,3.280000000000000000e+02
3.800000000000000000e+01,5.990000000000000000e+02
3.900000000000000000e+01,2.750000000000000000e+02
4.000000000000000000e+01,3.430000000000000000e+02
4.100000000000000000e+01,4.120000000000000000e+02
4.200000000000000000e+01,2.840000000000000000e+02
4.300000000000000000e+01,3.360000000000000000e+02
4.400000000000000000e+01,2.780000000000000000e+02
4.500000000000000000e+01,2.060000000000000000e+02
4.600000000000000000e+01,2.590000000000000000e+02
4.700000000000000000e+01,3.430000000000000000e+02
4.800000000000000000e+01,2.270000000000000000e+02
4.900000000000000000e+01,2.750000000000000000e+02
5.000000000000000000e+01,2.340000000000000000e+02
5.100000000000000000e+01,1.680000000000000000e+02
5.200000000000000000e+01,1.680000000000000000e+02
