# syllable id,counts
0.000000000000000000e+00,5.400000000000000000e+02
1.000000000000000000e+00,6.520000000000000000e+02
2.000000000000000000e+00,6.430000000000000000e+02
3.000000000000000000e+00,6.000000000000000000e+02
4.000000000000000000e+00,6.920000000000000000e+02
5.000000000000000000e+00,7.510000000000000000e+02
6.000000000000000000e+00,7.120000000000000000e+02
7.000000000000000000e+00,5.310000000000000000e+02
8.000000000000000000e+00,5.060000000000000000e+02
9.000000000000000000e+00,5.480000000000000000e+02
1.000000000000000000e+01,3.990000000000000000e+02
1.100000000000000000e+01,4.870000000000000000e+02
1.200000000000000000e+01,3.450000000000000000e+02
1.300000000000000000e+01,4.670000000000000000e+02
1.400000000000000000e+01,3.340000000000000000e+02
1.500000000000000000e+01,4.250000000000000000e+02
1.600000000000000000e+01,4.170000000000000000e+02
1.700000000000000000e+01,6.170000000000000000e+02
1.800000000000000000e+01,4.810000000000000000e+02
1.900000000000000000e+01,4.310000000000000000e+02
2.000000000000000000e+01,4.680000000000000000e+02
2.100000000000000000e+01,2.980000000000000000e+02
2.200000000000000000e+01,4.750000000000000000e+02
2.300000000000000000e+01,1.740000000000000000e+02
2.400000000000000000e+01,3.180000000000000000e+02
2.500000000000000000e+01,3.030000000000000000e+02
2.600000000000000000e+01,2.120000000000000000e+02
2.700000000000000000e+01,2.750000000000000000e+02
2.800000000000000000e+01,1.890000000000000000e+02
2.900000000000000000e+01,2.490000000000000000e+02
3.000000000000000000e+01,2.670000000000000000e+02
3.100000000000000000e+01,2.530000000000000000e+02
3.200000000000000000e+01,1.610000000000000000e+02
3.300000000000000000e+01,2.020000000000000000e+02
3.400000000000000000e+01,2.120000000000000000e+02
3.500000000000000000e+01,2.490000000000000000e+02
3.600000000000000000e+01,2.440000000000000000e+02
3.700000000000000000e+01,2.600000000000000000e+02
3.800000000000000000e+01,1.620000000000000000e+02
3.900000000000000000e+01,1.510000000000000000e+02
4.000000000000000000e+01,2.160000000000000000e+02
4.100000000000000000e+01,1.500000000000000000e+02
4.200000000000000000e+01,1.410000000000000000e+02
4.300000000000000000e+01,2.070000000000000000e+02
4.400000000000000000e+01,2.270000000000000000e+02
4.500000000000000000e+01,1.650000000000000000e+02
4.600000000000000000e+01,1.270000000000000000e+02
4.700000000000000000e+01,6.800000000000000000e+01
4.800000000000000000e+01,1.010000000000000000e+02
4.900000000000000000e+01,8.400000000000000000e+01
5.000000000000000000e+01,1.080000000000000000e+02
5.100000000000000000e+01,1.230000000000000000e+02
5.200000000000000000e+01,1.900000000000000000e+02
