,velocity_2d_mm,height_ave_mm,length_mm,dist_to_center_px,MoSeq
robust_min,1.5725699663162231,19.86222267150879,39.64659881591797,12.567788124084473,0.0
robust_max,277.4045715332031,47.86766052246094,76.97212219238281,117.75736999511719,0.0871536523929471
