,velocity_2d_mm,height_ave_mm,length_mm,dist_to_center_px,MoSeq
min,0.0,0.0,11.531049728393555,0.06262412667274475,0.0
max,6989.37890625,78.37154388427734,116.0684585571289,126.80364227294922,0.0871536523929471
