group,uuid,syllable,usage,duration,frame index_mean,frame index_std,frame index_min,frame index_max,kappa_mean,kappa_std,kappa_min,kappa_max,angle_mean,angle_std,angle_min,angle_max,area_mm_mean,area_mm_std,area_mm_min,area_mm_max,area_px_mean,area_px_std,area_px_min,area_px_max,centroid_x_mm_mean,centroid_x_mm_std,centroid_x_mm_min,centroid_x_mm_max,centroid_x_px_mean,centroid_x_px_std,centroid_x_px_min,centroid_x_px_max,centroid_y_mm_mean,centroid_y_mm_std,centroid_y_mm_min,centroid_y_mm_max,centroid_y_px_mean,centroid_y_px_std,centroid_y_px_min,centroid_y_px_max,height_ave_mm_mean,height_ave_mm_std,height_ave_mm_min,height_ave_mm_max,length_mm_mean,length_mm_std,length_mm_min,length_mm_max,length_px_mean,length_px_std,length_px_min,length_px_max,velocity_2d_mm_mean,velocity_2d_mm_std,velocity_2d_mm_min,velocity_2d_mm_max,velocity_2d_px_mean,velocity_2d_px_std,velocity_2d_px_min,velocity_2d_px_max,velocity_3d_mm_mean,velocity_3d_mm_std,velocity_3d_mm_min,velocity_3d_mm_max,velocity_3d_px_mean,velocity_3d_px_std,velocity_3d_px_min,velocity_3d_px_max,velocity_theta_mean,velocity_theta_std,velocity_theta_min,velocity_theta_max,width_mm_mean,width_mm_std,width_mm_min,width_mm_max,width_px_mean,width_px_std,width_px_min,width_px_max,dist_to_center_px_mean,dist_to_center_px_std,dist_to_center_px_min,dist_to_center_px_max,timestamps_mean,timestamps_std,timestamps_min,timestamps_max,syllable key
LNB_Mom_Female,365247e5-d810-4242-87f4-1c144f1a211f,2,0.08301647655259822,0.21603053435114503,17350.209,9822.824,35.0,35956.0,127427.0,0.0,127427.0,127427.0,-5.7997503,11.780244,-36.314747,23.93428,966.11304,103.36666,642.8089,1358.8914,580.14075,62.070595,386.0,816.0,-216.14262,105.82572,-403.29526,-17.303883,124.50549,64.3811,10.647609,245.47285,-141.5309,113.58931,-334.97382,50.440136,128.09888,67.337036,13.423702,241.90149,39.350895,6.31016,24.853693,58.4511,63.445522,7.0618787,42.879787,89.189865,38.598297,4.296229,26.08674,54.26036,3.7160928,2.0442028,0.098474115,12.711019,2.229846,1.2255157,0.05837659,7.5684433,4.3959117,2.0660846,0.39483702,13.488214,3.1485348,1.4716673,0.35863143,11.250244,0.048621528,1.832192,-3.1396,3.140919,31.430054,2.4827213,26.030645,46.0828,18.632093,1.4717855,15.431263,27.318409,91.15789,19.321728,15.105818,120.650635,635306099.8555726,327427.4229093417,634728926.0248,635926292.7588,labels (usage sort)
LNB_Mom_Female,ab57b6f6-dde4-4d79-ac91-bb679079dc72,2,0.06556016597510374,0.17946554149085794,17527.086,10419.296,215.0,35790.0,127427.0,0.0,127427.0,127427.0,-5.905426,9.699956,-41.672066,12.495836,897.29956,105.172226,642.8089,1313.928,538.819,63.15482,386.0,789.0,-200.16077,106.773766,-393.16016,-33.242046,134.22836,64.95787,16.813482,235.77657,-134.272,108.1202,-331.8029,36.636444,132.40202,64.09489,15.303469,233.7185,38.57435,7.16085,23.67319,58.20982,63.481987,7.4214187,44.525276,91.66854,38.620483,4.514962,27.087805,55.768314,2.5649831,1.65858,0.045199253,11.8283415,1.5406951,0.9966194,0.026987905,7.1062303,3.767167,1.7028891,0.2875624,12.841897,3.0219865,1.4130154,0.23754561,10.317512,-0.27971718,1.9357334,-3.1392586,3.1350205,28.993692,1.3918658,24.823872,34.862385,17.18779,0.8251139,14.715874,20.666819,89.30167,20.691357,11.322768,116.009834,13522501.316340826,347309.7582889654,12945431.6467,14131265.1737,labels (usage sort)
LNB_Mom_Female,d58916e7-fff3-4763-8ac0-8637f3fe512f,2,0.07089337175792507,0.19715447154471546,16957.68,10150.835,302.0,34871.0,127427.0,0.0,127427.0,127427.0,5.8292623,13.052189,-27.423752,50.42257,895.86743,91.042,678.7727,1245.8064,537.1725,54.58984,407.0,747.0,-195.24605,104.90303,-400.70425,-30.835669,137.39198,63.726467,12.580296,237.26796,-127.603775,110.1044,-332.66537,53.25682,136.46562,65.17572,15.080492,243.52509,37.96252,6.8201094,21.444061,60.05021,63.128487,6.808284,46.290695,85.77243,38.349277,4.1358943,28.120659,52.10501,2.9063983,2.0782,0.08562023,14.44026,1.7419989,1.2465112,0.050770015,8.751959,3.6926422,2.219236,0.24282552,33.095562,2.744035,1.6892736,0.1525802,31.311338,-0.16042286,1.9239824,-3.1408277,3.140967,29.294487,2.0818017,24.823559,42.1083,17.340715,1.2323114,14.694174,24.925783,90.12872,19.176569,12.869536,117.63924,7136522.836004319,338361.0488574792,6581334.0213,7733633.6568,labels (usage sort)
LNB_Mom_Female,fc32b078-718e-44c9-8ef8-f474a75942cd,2,0.05,0.16210045662100458,18889.45,10554.433,960.0,35321.0,127427.0,0.0,127427.0,127427.0,-1.1147507,6.4059386,-17.871944,15.121022,951.85724,113.44088,541.2251,1283.9525,571.58026,68.12006,325.0,771.0,-224.20862,112.771706,-392.8552,-27.768162,119.59839,68.60683,16.999018,239.1067,-138.2372,106.95974,-329.9515,40.51084,130.0514,63.40695,16.400988,236.01529,38.78831,5.629572,25.663935,57.313152,66.98359,7.964791,39.29599,93.51335,40.75075,4.845533,23.906467,56.89064,3.4496076,1.8882961,0.13271655,10.976237,2.0729113,1.1338117,0.08055568,6.568963,4.2397456,1.9811126,0.3246544,11.743056,3.1405919,1.4678862,0.2640758,8.644206,-0.048176628,1.8168429,-3.1313028,3.1296084,29.264137,1.7918632,25.569128,35.655544,17.348114,1.0622369,15.15767,21.137012,91.197205,21.76769,13.061576,119.441086,8266615.904735918,351814.88481501915,7668966.4506,8814334.575,labels (usage sort)
NGH_Mom_Female,17914d49-f50c-422f-b0c2-c8152f3e3d90,2,0.06133113311331133,0.16502242152466368,17906.654,10026.174,172.0,35551.0,127427.0,0.0,127427.0,127427.0,5.3170214,9.092036,-10.1975155,28.949188,824.77,94.2594,597.05316,1199.1095,494.54166,56.51903,358.0,719.0,-231.44705,99.49985,-404.56613,-30.038984,115.400604,60.444138,10.23427,237.75192,-143.61823,108.604744,-336.3014,45.669098,126.98595,64.288,12.928173,239.03358,35.993626,6.410127,20.991701,53.94655,60.64182,6.353083,43.127625,83.11738,36.838676,3.8593693,26.199158,50.492123,3.0146348,2.23719,0.06642377,17.285725,1.8075238,1.3405343,0.039409462,10.394093,4.0177073,2.1832254,0.34391272,17.942455,3.0673442,1.5721976,0.26360232,11.45306,-0.1769635,1.8608308,-3.1321287,3.1288044,27.998283,2.0241942,23.82219,38.62624,16.573435,1.1982111,14.1014185,22.8646,85.898224,23.404596,14.116121,117.28823,3958722.8699534405,334205.67343244544,3367568.3261,4546867.8186,labels (usage sort)
NGH_Mom_Female,36ddb5c0-d5b5-411e-9cbe-71f5e54869da,2,0.0576271186440678,0.1903921568627451,16898.105,9808.186,930.0,35812.0,127427.0,0.0,127427.0,127427.0,7.134055,8.917212,-9.5184765,31.959578,964.40027,120.679436,499.5924,1342.2383,579.11224,72.466736,300.0,806.0,-215.41748,108.941505,-404.45596,-32.861732,124.94665,66.27665,9.941465,236.00793,-140.54298,120.30251,-343.80835,48.60659,128.68452,71.316696,8.186489,240.81454,39.300533,5.92291,25.773897,59.833687,64.20854,7.163294,39.322945,85.21428,39.062496,4.357927,23.922867,51.84174,3.213314,2.0180638,0.08026752,14.074236,1.9308627,1.2138317,0.04857484,8.420495,3.853244,2.015618,0.38554782,14.164701,2.7940726,1.3811121,0.27389857,8.570846,-0.11363772,1.8098894,-3.1398454,3.1349497,30.879925,2.3268397,23.460293,40.14176,18.305971,1.379377,13.907529,23.796494,95.45572,19.160044,18.648588,120.133606,2303784.2702405765,326986.21373366663,1771420.2722,2934286.8898,labels (usage sort)
NGH_Mom_Female,6a0929cc-9113-44fe-b4c1-da1ca7632ef5,2,0.03727467155514818,0.19562841530054645,12749.744,8985.228,302.0,33231.0,127427.0,0.0,127427.0,127427.0,3.9878497,11.253019,-16.550062,39.250973,947.21466,105.0983,745.48254,1334.197,567.9609,63.018158,447.0,800.0,-202.2169,116.40902,-398.55414,-31.98205,133.15733,70.71612,13.886447,236.57155,-154.0868,108.345276,-332.03024,39.88046,120.78913,64.134415,15.456456,235.60703,38.231735,7.1093903,24.308798,58.84912,64.64084,6.7196,48.502914,89.27049,39.267998,4.0820208,29.464537,54.230015,2.4654205,1.6053444,0.0,8.871149,1.4790897,0.96197724,0.0,5.2851987,3.2545013,1.7462363,0.0,19.519934,2.4798737,1.396351,0.0,18.617043,0.06874492,1.8845013,-3.1361518,3.140566,30.214817,1.9758092,25.46147,39.28513,17.8855,1.1695698,15.071782,23.254625,93.79361,19.368202,23.437048,116.07375,10179124.18547625,299507.48590965825,9764199.8558,10861832.4789,labels (usage sort)
NGH_Mom_Female,9f45197b-4e21-4ee3-9e84-3fde2831d7d4,2,0.06300539083557952,0.1978609625668449,17564.605,9358.677,1230.0,35771.0,127427.0,0.0,127427.0,127427.0,4.066582,9.626319,-12.045692,44.25588,968.26855,109.23096,646.1395,1343.9036,581.4351,65.59205,388.0,807.0,-196.69614,105.59258,-394.44498,-14.79365,136.33614,64.239265,16.031845,247.0,-141.74506,109.02416,-332.06342,47.922577,127.97192,64.63077,15.149027,240.40904,41.25686,6.740324,23.459707,62.752495,65.14482,7.3065743,47.833813,89.6112,39.6321,4.4450946,29.100616,54.51669,2.9405236,1.6345124,0.0485809,10.331143,1.7657644,0.980908,0.028937051,6.1244497,3.6981509,1.6856862,0.35504672,11.64723,2.7571468,1.2954862,0.26535347,8.150726,-0.075112216,1.9063287,-3.1398954,3.1303558,30.479645,1.8494037,26.935497,40.819656,18.06868,1.0963476,15.9676695,24.198359,88.79846,22.177883,10.918524,120.83884,4985317.275138195,311956.31921647093,4440830.1336,5592198.2529,labels (usage sort)
NGH_Mom_Female,b9533615-8f57-4eaf-82cc-1e32307af256,2,0.05175438596491228,0.171939736346516,18256.543,10864.12,716.0,35693.0,127427.0,0.0,127427.0,127427.0,6.687437,9.934625,-13.597944,34.389435,864.98065,106.037025,644.4742,1205.683,519.4118,63.67412,387.0,724.0,-217.53831,99.97825,-395.99896,-27.846409,123.656395,60.823685,15.086443,239.0591,-154.6708,101.13851,-332.2367,43.30272,120.30938,59.956062,15.046305,237.67035,36.668964,6.7345085,20.29401,55.567307,63.237972,6.7690206,45.250595,85.640205,38.47203,4.1180634,27.529066,52.10086,2.217797,1.473554,0.02928707,8.819188,1.3313553,0.8839207,0.017440375,5.297658,3.4258914,1.6229506,0.114198625,13.469393,2.802452,1.4076961,0.09769022,13.214289,-0.09242274,1.9059006,-3.1209202,3.1414063,28.18027,2.4029942,23.456463,40.219826,16.705585,1.4245223,13.905258,23.84277,80.34272,29.824028,9.113795,120.43677,16783220.0378664,362137.28247987916,16198535.4301,17364434.9561,labels (usage sort)
LNB_Mom_Female,06f178be-3ba4-4c4b-b795-05703f6a3e0e,3,0.0641025641025641,0.23015151515151513,16948.393,10472.366,115.0,35132.0,127427.0,0.0,127427.0,127427.0,6.843599,7.5636396,-11.351874,24.934643,778.11285,45.99128,655.42426,967.2928,466.5655,27.576904,393.0,580.0,-219.38368,84.15324,-374.59384,-51.681496,122.72886,51.121387,28.441843,224.60454,-149.40152,99.51975,-303.0374,43.61764,123.56256,58.91019,32.618603,237.81923,25.71381,2.013962,21.93394,38.326435,52.436184,3.2916207,42.594177,68.550476,31.85392,1.9995928,25.8751,41.643024,1.5129124,1.0054562,0.051806625,6.777819,0.9071925,0.6026857,0.031450257,4.0848923,1.7014029,1.00932,0.10975117,8.203523,1.1602278,0.67365193,0.07723159,6.285926,-0.015334865,1.8381947,-3.1380787,3.1401424,30.522465,1.6860931,24.64182,38.85395,18.067612,0.9980739,14.586596,22.999392,75.8725,19.29301,6.3622575,111.026245,680114.9077947994,349078.8572788299,119001.5153,1286235.0473,labels (usage sort)
