# syllable id,counts
0.000000000000000000e+00,8.650000000000000000e+02
1.000000000000000000e+00,8.610000000000000000e+02
2.000000000000000000e+00,6.250000000000000000e+02
3.000000000000000000e+00,6.140000000000000000e+02
4.000000000000000000e+00,6.050000000000000000e+02
5.000000000000000000e+00,5.600000000000000000e+02
6.000000000000000000e+00,3.590000000000000000e+02
7.000000000000000000e+00,5.550000000000000000e+02
8.000000000000000000e+00,5.050000000000000000e+02
9.000000000000000000e+00,4.840000000000000000e+02
1.000000000000000000e+01,5.550000000000000000e+02
1.100000000000000000e+01,4.270000000000000000e+02
1.200000000000000000e+01,3.330000000000000000e+02
1.300000000000000000e+01,4.340000000000000000e+02
1.400000000000000000e+01,4.700000000000000000e+02
1.500000000000000000e+01,3.650000000000000000e+02
1.600000000000000000e+01,6.210000000000000000e+02
1.700000000000000000e+01,5.460000000000000000e+02
1.800000000000000000e+01,5.590000000000000000e+02
1.900000000000000000e+01,4.350000000000000000e+02
2.000000000000000000e+01,2.730000000000000000e+02
2.100000000000000000e+01,3.000000000000000000e+02
2.200000000000000000e+01,1.810000000000000000e+02
2.300000000000000000e+01,2.420000000000000000e+02
2.400000000000000000e+01,3.420000000000000000e+02
2.500000000000000000e+01,3.390000000000000000e+02
2.600000000000000000e+01,3.920000000000000000e+02
2.700000000000000000e+01,2.610000000000000000e+02
2.800000000000000000e+01,3.140000000000000000e+02
2.900000000000000000e+01,1.880000000000000000e+02
3.000000000000000000e+01,2.240000000000000000e+02
3.100000000000000000e+01,1.700000000000000000e+02
3.200000000000000000e+01,2.630000000000000000e+02
3.300000000000000000e+01,2.230000000000000000e+02
3.400000000000000000e+01,2.230000000000000000e+02
3.500000000000000000e+01,2.810000000000000000e+02
3.600000000000000000e+01,3.580000000000000000e+02
3.700000000000000000e+01,1.940000000000000000e+02
3.800000000000000000e+01,1.430000000000000000e+02
3.900000000000000000e+01,2.330000000000000000e+02
4.000000000000000000e+01,1.820000000000000000e+02
4.100000000000000000e+01,2.160000000000000000e+02
4.200000000000000000e+01,1.630000000000000000e+02
4.300000000000000000e+01,1.660000000000000000e+02
4.400000000000000000e+01,1.710000000000000000e+02
4.500000000000000000e+01,1.460000000000000000e+02
4.600000000000000000e+01,1.350000000000000000e+02
4.700000000000000000e+01,2.280000000000000000e+02
4.800000000000000000e+01,2.210000000000000000e+02
4.900000000000000000e+01,2.230000000000000000e+02
5.000000000000000000e+01,1.940000000000000000e+02
5.100000000000000000e+01,1.460000000000000000e+02
5.200000000000000000e+01,1.350000000000000000e+02
5.300000000000000000e+01,8.200000000000000000e+01
5.400000000000000000e+01,1.030000000000000000e+02
5.500000000000000000e+01,8.600000000000000000e+01
5.600000000000000000e+01,1.110000000000000000e+02
5.700000000000000000e+01,1.140000000000000000e+02
5.800000000000000000e+01,7.200000000000000000e+01
5.900000000000000000e+01,8.200000000000000000e+01
