# syllable id,counts
0.000000000000000000e+00,1.071000000000000000e+03
1.000000000000000000e+00,1.044000000000000000e+03
2.000000000000000000e+00,6.980000000000000000e+02
3.000000000000000000e+00,1.144000000000000000e+03
4.000000000000000000e+00,9.740000000000000000e+02
5.000000000000000000e+00,5.370000000000000000e+02
6.000000000000000000e+00,5.430000000000000000e+02
7.000000000000000000e+00,5.230000000000000000e+02
8.000000000000000000e+00,7.520000000000000000e+02
9.000000000000000000e+00,9.760000000000000000e+02
1.000000000000000000e+01,6.820000000000000000e+02
1.100000000000000000e+01,5.890000000000000000e+02
1.200000000000000000e+01,6.120000000000000000e+02
1.300000000000000000e+01,1.044000000000000000e+03
1.400000000000000000e+01,9.750000000000000000e+02
1.500000000000000000e+01,5.890000000000000000e+02
1.600000000000000000e+01,5.130000000000000000e+02
1.700000000000000000e+01,4.730000000000000000e+02
1.800000000000000000e+01,6.860000000000000000e+02
1.900000000000000000e+01,8.090000000000000000e+02
2.000000000000000000e+01,4.460000000000000000e+02
2.100000000000000000e+01,5.860000000000000000e+02
2.200000000000000000e+01,6.380000000000000000e+02
2.300000000000000000e+01,3.660000000000000000e+02
2.400000000000000000e+01,3.800000000000000000e+02
2.500000000000000000e+01,4.670000000000000000e+02
2.600000000000000000e+01,3.510000000000000000e+02
2.700000000000000000e+01,2.650000000000000000e+02
2.800000000000000000e+01,5.160000000000000000e+02
2.900000000000000000e+01,9.140000000000000000e+02
3.000000000000000000e+01,3.910000000000000000e+02
3.100000000000000000e+01,5.820000000000000000e+02
3.200000000000000000e+01,5.630000000000000000e+02
3.300000000000000000e+01,7.700000000000000000e+02
3.400000000000000000e+01,5.100000000000000000e+02
3.500000000000000000e+01,4.400000000000000000e+02
3.600000000000000000e+01,3.040000000000000000e+02
3.700000000000000000e+01,3.810000000000000000e+02
3.800000000000000000e+01,2.880000000000000000e+02
3.900000000000000000e+01,4.800000000000000000e+02
4.000000000000000000e+01,2.400000000000000000e+02
4.100000000000000000e+01,3.470000000000000000e+02
4.200000000000000000e+01,2.360000000000000000e+02
4.300000000000000000e+01,3.490000000000000000e+02
4.400000000000000000e+01,2.190000000000000000e+02
4.500000000000000000e+01,4.230000000000000000e+02
4.600000000000000000e+01,2.840000000000000000e+02
4.700000000000000000e+01,2.650000000000000000e+02
4.800000000000000000e+01,2.990000000000000000e+02
4.900000000000000000e+01,3.240000000000000000e+02
5.000000000000000000e+01,2.040000000000000000e+02
5.100000000000000000e+01,2.680000000000000000e+02
5.200000000000000000e+01,2.600000000000000000e+02
5.300000000000000000e+01,3.610000000000000000e+02
5.400000000000000000e+01,2.300000000000000000e+02
5.500000000000000000e+01,1.730000000000000000e+02
5.600000000000000000e+01,1.450000000000000000e+02
5.700000000000000000e+01,1.020000000000000000e+02
5.800000000000000000e+01,1.450000000000000000e+02
5.900000000000000000e+01,7.400000000000000000e+01
