# syllable id,counts
0.000000000000000000e+00,1.390000000000000000e+03
1.000000000000000000e+00,1.189000000000000000e+03
2.000000000000000000e+00,1.170000000000000000e+03
3.000000000000000000e+00,9.340000000000000000e+02
4.000000000000000000e+00,9.980000000000000000e+02
5.000000000000000000e+00,8.410000000000000000e+02
6.000000000000000000e+00,9.500000000000000000e+02
7.000000000000000000e+00,8.890000000000000000e+02
8.000000000000000000e+00,7.670000000000000000e+02
9.000000000000000000e+00,9.080000000000000000e+02
1.000000000000000000e+01,6.820000000000000000e+02
1.100000000000000000e+01,7.340000000000000000e+02
1.200000000000000000e+01,6.410000000000000000e+02
1.300000000000000000e+01,6.620000000000000000e+02
1.400000000000000000e+01,5.460000000000000000e+02
1.500000000000000000e+01,5.690000000000000000e+02
1.600000000000000000e+01,4.880000000000000000e+02
1.700000000000000000e+01,4.310000000000000000e+02
1.800000000000000000e+01,3.590000000000000000e+02
1.900000000000000000e+01,3.830000000000000000e+02
2.000000000000000000e+01,4.390000000000000000e+02
2.100000000000000000e+01,4.800000000000000000e+02
2.200000000000000000e+01,3.890000000000000000e+02
2.300000000000000000e+01,4.100000000000000000e+02
2.400000000000000000e+01,4.540000000000000000e+02
2.500000000000000000e+01,3.740000000000000000e+02
2.600000000000000000e+01,3.270000000000000000e+02
2.700000000000000000e+01,2.420000000000000000e+02
2.800000000000000000e+01,2.210000000000000000e+02
2.900000000000000000e+01,2.270000000000000000e+02
3.000000000000000000e+01,1.690000000000000000e+02
