# syllable id,counts
0.000000000000000000e+00,1.165000000000000000e+03
1.000000000000000000e+00,1.200000000000000000e+03
2.000000000000000000e+00,8.790000000000000000e+02
3.000000000000000000e+00,9.550000000000000000e+02
4.000000000000000000e+00,6.950000000000000000e+02
5.000000000000000000e+00,8.210000000000000000e+02
6.000000000000000000e+00,6.490000000000000000e+02
7.000000000000000000e+00,6.180000000000000000e+02
8.000000000000000000e+00,6.900000000000000000e+02
9.000000000000000000e+00,5.470000000000000000e+02
1.000000000000000000e+01,6.060000000000000000e+02
1.100000000000000000e+01,5.320000000000000000e+02
1.200000000000000000e+01,5.870000000000000000e+02
1.300000000000000000e+01,4.520000000000000000e+02
1.400000000000000000e+01,5.200000000000000000e+02
1.500000000000000000e+01,3.850000000000000000e+02
1.600000000000000000e+01,4.470000000000000000e+02
1.700000000000000000e+01,4.660000000000000000e+02
1.800000000000000000e+01,5.030000000000000000e+02
1.900000000000000000e+01,4.200000000000000000e+02
2.000000000000000000e+01,3.340000000000000000e+02
2.100000000000000000e+01,2.770000000000000000e+02
2.200000000000000000e+01,3.600000000000000000e+02
2.300000000000000000e+01,3.370000000000000000e+02
2.400000000000000000e+01,2.720000000000000000e+02
2.500000000000000000e+01,2.650000000000000000e+02
2.600000000000000000e+01,2.180000000000000000e+02
2.700000000000000000e+01,2.330000000000000000e+02
2.800000000000000000e+01,2.040000000000000000e+02
2.900000000000000000e+01,1.900000000000000000e+02
3.000000000000000000e+01,1.370000000000000000e+02
