,velocity_2d_mm,height_ave_mm,length_mm,dist_to_center_px,MoSeq
robust_min,0.0,21.557315826416016,43.201820373535156,14.088061332702637,0.0
robust_max,288.2021484375,53.8535270690918,82.13904571533203,114.81359100341797,0.10754659333944394
