,velocity_2d_mm,height_ave_mm,length_mm,dist_to_center_px,MoSeq
min,0.0,0.0,13.298501968383789,0.2226746380329132,0.0
max,1183.869384765625,70.07188415527344,104.58790588378906,125.54615783691406,0.10754659333944394
